Name,Date Public,Founded,MarketValue,P/Q-1 Earnings Date,P/Q-1 % Variance,-10 Before Earnings,+10 Since Earnings,+20 Since Earnings,+30 Since Earnings,P/Q-2 Earnings Date,P/Q-2 % Variance,-10 Before Earnings,+10 Since Earnings,+20 Since Earnings,+30 Since Earnings,P/Q-3 Earnings Date,P/Q-3 % Variance,-10 Before Earnings,+10 Since Earnings,+20 Since Earnings,+30 Since Earnings,P/Q-4 Earnings Date,P/Q-4 % Variance,-10 Before Earnings,+10 Since Earnings,+20 Since Earnings,+30 Since Earnings,P/Q-5 Earnings Date,P/Q-5 % Variance,-10 Before Earnings,+10 Since Earnings,+20 Since Earnings,+30 Since Earnings,P/Q-6 Earnings Date,P/Q-6 % Variance,-10 Before Earnings,+10 Since Earnings,+20 Since Earnings,+30 Since Earnings
Mastercard Incorporated Class A, 5/25/2006,1966,"$271,389.40",1/29/2020,0.05,0.02,0.01,-0.03,0.01,10/29/2019,0.07,-0.03,-0.01,0.03,0.00,7/30/2019,4%,0.01,0.01,0.03,-0.07,4/30/2019,0.07,0.02,0.00,0.05,0.00,1/31/2019,0.02,0.01,0.02,0.01,0.01,10/30/2018,0.06,-0.01,0.04,0.01,0.02
UnitedHealth Group Incorporated,11/05/1984,1977,"$258,049.80",1/15/2020,0.03,-0.04,-0.05,0.05,-0.04,10/15/2019,0.04,0.02,0.04,-0.01,0.09,7/18/2019,4%,0.09,-0.03,0.01,-0.08,4/16/2019,0.04,-0.08,0.04,0.04,0.05,1/15/2019,0.02,-0.03,0.02,-0.05,-0.10,10/16/2018,0.04,0.03,-0.01,0.03,0.03
AT&T Inc.,11/05/1984,1983,"$247,249.30",1/29/2020,0.02,0.02,-0.01,0.06,0.04,10/28/2019,0.01,-0.04,0.01,-0.07,0.02,7/24/2019,0%,-0.05,0.07,0.02,0.00,4/24/2019,0.00,-0.02,0.00,0.07,0.00,1/30/2019,0.00,-0.02,-0.01,0.03,-0.04,10/24/2018,-0.04,0.03,-0.03,0.01,0.02
Intel Corporation,11/05/1984,1968,"$232,797.10",1/24/2020,0.21,0.05,-0.05,-0.04,-0.03,10/25/2019,0.15,0.00,0.01,-0.02,-0.03,7/26/2019,19%,0.07,-0.07,0.00,0.10,4/26/2019,0.02,0.02,-0.10,-0.02,0.03,1/25/2019,0.05,0.01,0.02,0.05,0.01,10/26/2018,0.22,0.01,0.01,0.02,0.01
"Home Depot, Inc.",11/05/1984,1978,"$224,351.20",2/25/2020,0.08,0.04,0.03,-0.09,0.00,11/19/2019,0.00,0.00,-0.05,-0.01,0.00,8/20/2019,3%,-0.02,0.02,0.01,0.02,5/21/2019,0.04,-0.01,0.04,0.02,0.00,2/26/2019,0.04,0.00,-0.02,0.02,0.04,11/13/2018,0.11,0.00,-0.02,0.01,0.05
Verizon Communications Inc.,11/05/1984,1983,"$224,039.70",1/30/2020,-0.01,0.01,-0.04,0.04,0.09,10/25/2019,0.01,-0.01,-0.04,0.00,0.01,8/1/2019,2%,-0.03,0.05,0.00,0.01,4/23/2019,0.03,-0.02,0.01,0.06,-0.03,1/29/2019,0.03,-0.07,-0.02,0.02,0.01,10/23/2018,0.03,0.04,-0.01,0.08,-0.04
Bank of America Corp,11/05/1984,1904,"$210,881.30",1/15/2020,0.08,-0.02,-0.03,0.01,-0.06,10/16/2019,0.04,0.03,0.03,0.02,0.00,7/17/2019,4%,-0.03,0.05,-0.09,0.00,4/16/2019,0.07,0.03,0.01,-0.04,-0.02,1/16/2019,0.11,0.04,-0.03,-0.02,0.01,10/15/2018,0.06,0.02,-0.01,0.01,0.01
Coca-Cola Company,11/05/1984,1886,"$208,101.20",1/30/2020,0.01,0.02,-0.02,0.02,0.00,10/18/2019,0.00,-0.03,-0.04,-0.04,0.02,7/23/2019,3%,-0.02,0.00,0.02,0.02,4/23/2019,0.04,0.01,0.01,0.02,0.06,2/14/2019,0.00,0.01,-0.03,0.00,0.03,10/30/2018,0.06,0.07,0.03,-0.01,0.03
"Merck & Co., Inc.",11/05/1984,1891,"$194,658.70",2/5/2020,0.01,-0.01,-0.05,0.09,-0.06,10/29/2019,0.22,-0.05,-0.03,0.02,0.02,7/30/2019,12%,0.02,0.06,0.01,-0.08,4/30/2019,0.16,-0.05,0.02,0.04,0.02,2/1/2019,0.00,-0.04,0.02,0.01,-0.01,10/25/2018,0.04,0.05,0.04,0.05,0.03
Walt Disney Company,11/05/1984,1923,"$185,093.60",2/5/2020,0.05,0.01,-0.02,-0.09,-0.10,11/8/2019,0.13,-0.01,0.07,-0.02,-0.03,8/7/2019,-22%,0.05,-0.01,0.00,-0.05,5/9/2019,0.02,0.02,0.01,0.02,-0.01,2/6/2019,0.19,-0.02,0.01,0.01,-0.08,11/9/2018,0.10,-0.02,-0.01,0.01,0.01
