Name,Date Public,Founded,MarketValue,P/Q-1 Earnings Date,P/Q-1 % Variance,-10 Before Earnings,+10 Since Earnings,+20 Since Earnings,+30 Since Earnings,P/Q-2 Earnings Date,P/Q-2 % Variance,-10 Before Earnings,+10 Since Earnings,+20 Since Earnings,+30 Since Earnings,P/Q-3 Earnings Date,P/Q-3 % Variance,-10 Before Earnings,+10 Since Earnings,+20 Since Earnings,+30 Since Earnings,P/Q-4 Earnings Date,P/Q-4 % Variance,-10 Before Earnings,+10 Since Earnings,+20 Since Earnings,+30 Since Earnings,P/Q-5 Earnings Date,P/Q-5 % Variance,-10 Before Earnings,+10 Since Earnings,+20 Since Earnings,+30 Since Earnings,P/Q-6 Earnings Date,P/Q-6 % Variance,-10 Before Earnings,+10 Since Earnings,+20 Since Earnings,+30 Since Earnings
3M Company,11/05/1984,1902,"$81,551.00",1/28/2020,-0.08,-0.02,-0.04,-0.01,0.11,10/24/2019,0.04,0.09,0.05,-0.06,0.02,7/25/2019,7%,0.07,-0.06,-0.02,0.00,4/25/2019,-0.10,0.02,-0.06,-0.04,-0.02,1/29/2019,0.01,-0.01,0.01,-0.01,-0.02,10/23/2018,-0.05,-0.02,0.01,0.07,-0.01
"United Parcel Service, Inc. Class B",11/10/1999,1907,"$80,895.30",1/30/2020,0.00,-0.01,-0.05,-0.02,0.13,10/22/2019,0.01,0.00,0.02,-0.02,-0.03,7/24/2019,2%,0.03,0.05,-0.01,0.03,4/25/2019,-0.02,0.00,-0.02,-0.03,0.00,1/31/2019,0.02,0.01,0.04,-0.02,-0.03,10/24/2018,0.00,0.02,-0.03,0.04,-0.03
American Express Company,11/05/1984,1850,"$80,480.88",1/24/2020,0.01,0.02,-0.03,0.00,-0.08,10/18/2019,0.02,0.03,-0.01,0.00,-0.03,7/19/2019,2%,0.02,0.01,0.02,-0.05,4/18/2019,-0.09,0.00,0.04,0.03,0.00,1/18/2019,0.29,-0.01,0.01,0.01,0.02,10/19/2018,0.06,0.00,-0.01,0.05,0.01
"Fidelity National Information Services, Inc.", 6/20/2001,1968,"$80,060.23",2/13/2020,0.02,-0.03,0.03,0.02,0.00,11/5/2019,0.06,-0.01,0.03,-0.01,-0.01,8/6/2019,0%,0.01,0.06,-0.03,-0.06,4/30/2019,0.05,-0.03,0.04,0.04,-0.02,2/12/2019,0.31,0.02,-0.01,0.00,0.03,10/30/2018,0.02,0.02,0.00,0.02,0.01
CVS Health Corporation,11/05/1984,1963,"$77,780.10",2/12/2020,0.03,0.00,-0.08,0.09,0.09,11/6/2019,0.04,-0.02,0.04,-0.01,-0.03,8/7/2019,12%,0.00,0.05,0.00,0.00,5/1/2019,0.08,-0.01,-0.06,0.02,0.00,2/20/2019,0.02,0.04,-0.16,0.02,-0.08,11/6/2018,0.01,0.02,0.01,-0.01,-0.05
Altria Group Inc, 7/02/1985,1919,"$74,464.77",1/30/2020,0.00,-0.01,-0.08,0.01,0.08,10/31/2019,0.04,0.04,0.02,0.05,0.00,7/30/2019,0%,0.01,-0.01,-0.01,-0.06,4/25/2019,-0.02,-0.02,0.03,0.03,-0.05,1/31/2019,0.00,-0.03,-0.02,0.05,0.07,10/25/2018,0.01,0.04,0.00,-0.12,-0.01
"Lowe's Companies, Inc.",11/05/1984,1946,"$73,957.17",2/26/2020,0.03,0.04,-0.01,-0.03,0.00,11/20/2019,0.04,-0.01,-0.02,0.01,-0.01,8/21/2019,8%,-0.01,0.04,-0.03,-0.01,5/22/2019,-0.08,0.04,-0.01,0.02,0.02,2/27/2019,0.01,0.05,-0.07,0.07,0.03,11/20/2018,0.06,-0.04,0.03,0.06,0.04
"T-Mobile US, Inc.", 4/19/2007,1994,"$73,173.50",2/7/2020,0.04,0.00,0.16,-0.02,0.07,10/29/2019,0.05,0.02,-0.07,0.00,-0.05,7/26/2019,12%,0.02,-0.05,0.01,-0.01,4/26/2019,0.17,-0.01,0.05,0.05,-0.03,2/7/2019,0.08,-0.05,0.04,-0.02,0.00,10/31/2018,0.10,-0.03,0.00,-0.01,0.01
"Mondelez International, Inc. Class A", 6/13/2001,1903,"$72,965.45",1/30/2020,0.01,0.01,-0.02,0.02,0.06,10/30/2019,0.06,-0.04,0.00,-0.02,0.00,7/31/2019,0%,0.00,0.04,0.01,-0.04,5/1/2019,0.06,0.00,0.03,0.01,0.03,1/31/2019,0.00,-0.01,0.01,-0.02,0.01,10/30/2018,0.03,0.02,0.03,0.00,0.03
"Fiserv, Inc.", 9/25/1986,1984,"$70,232.41",2/5/2020,-0.01,0.03,-0.01,0.00,-0.05,11/7/2019,0.03,0.01,0.03,-0.01,0.00,7/26/2019,2%,0.03,0.06,0.02,-0.03,5/1/2019,0.02,-0.01,0.02,0.04,-0.02,2/8/2019,-0.02,-0.01,-0.05,0.03,-0.01,11/1/2018,-0.02,0.04,0.07,-0.02,0.01
General Electric Company,11/05/1984,1878,"$68,610.82",1/29/2020,0.22,-0.03,-0.02,-0.09,-0.14,10/30/2019,0.26,0.01,0.10,-0.02,0.01,7/31/2019,46%,0.01,-0.09,-0.14,0.12,4/30/2019,0.54,0.07,0.05,-0.07,0.06,1/31/2019,-0.22,0.01,-0.03,0.00,-0.03,10/30/2018,-0.29,-0.04,-0.17,-0.11,-0.04
"Anthem, Inc.",10/30/2001,1944,"$68,214.89",1/29/2020,0.00,-0.02,0.05,-0.01,0.16,10/23/2019,0.01,0.07,0.03,0.04,-0.03,7/24/2019,1%,0.06,0.04,-0.08,-0.08,4/24/2019,0.03,-0.15,0.07,0.05,0.00,1/30/2019,0.11,0.05,0.00,-0.03,0.01,10/31/2018,0.03,0.00,0.02,0.03,-0.01
Intuit Inc., 3/12/1993,1983,"$68,052.76",2/25/2020,0.13,0.00,0.02,-0.03,0.00,11/22/2019,0.58,0.04,-0.02,0.02,0.01,8/23/2019,-39%,0.00,-0.06,-0.03,0.01,5/24/2019,0.03,0.02,-0.01,-0.01,0.02,2/22/2019,0.16,0.03,0.00,0.01,0.00,11/20/2018,1.72,-0.06,0.06,-0.01,0.01
Cigna Corporation,11/05/1984,1792,"$66,919.38",2/6/2020,0.03,-0.03,0.03,0.01,-0.08,10/31/2019,0.04,0.07,0.04,0.04,-0.06,8/1/2019,15%,-0.05,-0.01,-0.07,0.03,5/2/2019,0.04,0.07,-0.02,0.01,0.02,2/1/2019,0.00,-0.02,-0.01,-0.14,-0.04,11/1/2018,0.11,0.05,-0.01,0.04,-0.04
Dominion Energy Inc,11/05/1984,1983,"$65,607.05",2/11/2020,0.02,-0.02,0.09,0.03,-0.01,11/1/2019,0.04,-0.01,-0.03,0.00,-0.03,7/31/2019,1%,-0.03,0.06,0.00,-0.02,5/3/2019,-0.02,0.02,0.01,0.04,-0.05,2/1/2019,-0.02,-0.02,0.01,0.02,0.01,11/1/2018,0.02,0.02,0.05,0.00,0.07
CME Group Inc. Class A,12/06/2002,1898,"$65,233.32",2/12/2020,-0.01,-0.03,0.13,-0.01,0.06,10/30/2019,0.08,-0.07,-0.02,-0.04,0.01,7/31/2019,0%,-0.03,0.12,0.02,-0.09,5/1/2019,0.01,0.02,0.06,0.08,-0.02,2/14/2019,0.02,-0.03,0.01,-0.07,-0.04,10/25/2018,0.01,0.05,0.03,0.06,0.00
Crown Castle International Corp, 8/18/1998,1994,"$64,633.14",2/27/2020,-0.11,0.08,0.13,0.09,0.00,10/17/2019,0.19,-0.05,-0.02,-0.06,-0.02,7/18/2019,26%,-0.02,0.07,0.10,0.00,4/18/2019,0.09,-0.04,0.00,0.05,0.08,1/24/2019,0.02,0.00,0.03,-0.02,0.03,10/18/2018,0.21,0.02,0.04,0.01,0.03
"Becton, Dickinson and Company",11/05/1984,1897,"$64,132.41",2/6/2020,0.01,0.02,0.02,0.04,-0.01,11/5/2019,0.00,0.00,-0.02,0.05,0.01,8/6/2019,1%,-0.02,0.02,0.01,-0.01,5/9/2019,0.00,0.02,0.03,0.00,0.02,2/5/2019,0.03,0.00,0.01,0.00,-0.04,11/6/2018,0.00,0.01,0.03,-0.01,-0.01
"BlackRock, Inc.",10/01/1999,1988,"$64,064.73",1/15/2020,0.08,0.02,0.02,0.02,-0.06,10/15/2019,0.03,-0.02,0.03,0.03,-0.01,7/19/2019,-1%,0.00,-0.04,-0.05,-0.01,4/16/2019,0.08,0.02,0.02,-0.05,-0.02,1/16/2019,-0.03,-0.02,-0.03,0.00,0.03,10/16/2018,0.10,-0.04,0.03,-0.01,0.04
Duke Energy Corporation,11/05/1984,1904,"$62,869.41",2/13/2020,0.04,-0.02,0.04,0.03,0.00,11/8/2019,0.07,-0.06,-0.04,0.02,-0.01,8/6/2019,14%,0.03,0.02,0.02,-0.02,5/9/2019,0.01,0.00,0.04,-0.04,0.01,2/14/2019,-0.06,0.01,0.00,0.01,-0.01,11/2/2018,0.09,0.02,0.04,0.01,0.06
TJX Companies Inc,11/05/1984,1956,"$62,537.26",2/26/2020,0.05,0.03,-0.01,-0.07,0.00,11/19/2019,0.03,0.00,-0.01,-0.02,0.00,8/20/2019,0%,-0.01,0.04,0.01,0.01,5/21/2019,0.04,0.01,-0.03,0.02,-0.02,2/27/2019,-0.01,-0.02,0.01,0.02,0.00,11/20/2018,0.03,-0.10,-0.03,0.00,0.07
"Automatic Data Processing, Inc.",11/05/1984,1949,"$62,388.45",1/29/2020,0.05,0.04,0.01,0.00,-0.01,10/30/2019,0.01,-0.02,0.01,-0.01,-0.03,7/31/2019,1%,0.00,0.03,0.00,-0.08,5/1/2019,0.05,-0.01,0.04,0.03,-0.02,1/30/2019,0.13,0.00,0.05,0.00,-0.01,10/31/2018,0.08,0.00,-0.01,0.01,-0.03
Estee Lauder Companies Inc. Class A,11/17/1995,1946,"$61,919.96",2/6/2020,0.11,-0.06,-0.01,0.03,-0.10,10/31/2019,0.05,-0.02,0.01,0.01,0.03,8/19/2019,31%,0.00,-0.01,-0.08,0.06,5/1/2019,0.19,0.01,0.02,0.00,0.04,2/5/2019,0.13,0.05,0.01,-0.01,0.02,10/31/2018,0.23,0.07,0.06,-0.04,0.00
Stryker Corporation,11/05/1984,1941,"$61,542.68",1/29/2020,0.01,0.04,-0.01,0.02,-0.04,10/30/2019,0.00,0.01,-0.09,0.00,-0.03,7/26/2019,2%,0.01,0.05,0.00,-0.03,4/24/2019,0.02,-0.06,0.03,0.00,0.03,1/30/2019,0.01,0.00,0.01,0.00,0.02,10/26/2018,0.01,-0.01,0.02,0.01,0.05
"Goldman Sachs Group, Inc.", 5/04/1999,1869,"$61,242.85",1/15/2020,-0.13,0.05,0.00,-0.05,-0.04,10/15/2019,-0.01,0.00,0.04,-0.01,-0.01,7/16/2019,19%,0.01,0.02,-0.05,-0.01,4/15/2019,0.17,0.06,0.02,-0.01,-0.02,1/16/2019,0.40,0.04,-0.03,-0.04,0.01,10/16/2018,0.17,0.01,0.03,-0.08,-0.04
Allergan plc, 2/18/1993,1984,"$60,487.02",2/10/2020,0.14,0.04,0.04,0.05,-0.03,11/5/2019,0.01,0.00,0.02,0.01,-0.01,8/6/2019,1%,0.03,-0.01,0.00,0.00,5/7/2019,0.07,0.04,-0.02,-0.07,-0.02,1/29/2019,0.03,0.04,-0.08,-0.04,0.10,10/30/2018,0.05,-0.01,0.00,-0.06,0.01
"S&P Global, Inc.",11/05/1984,1917,"$60,486.78",2/6/2020,0.05,-0.01,-0.01,0.03,-0.08,10/29/2019,0.05,-0.04,-0.02,0.03,0.02,8/1/2019,7%,0.02,0.02,0.00,-0.07,5/2/2019,-0.01,0.01,0.00,0.04,0.00,2/7/2019,0.01,-0.01,0.00,-0.01,0.03,10/25/2018,0.03,0.02,0.02,-0.01,-0.04
"Zoetis, Inc. Class A", 2/01/2013,1952,"$59,594.72",2/13/2020,0.05,0.00,0.04,0.03,0.00,11/7/2019,0.06,-0.03,-0.01,0.00,0.07,8/6/2019,10%,0.02,0.03,0.00,-0.06,5/2/2019,0.12,0.02,0.01,0.02,0.05,2/14/2019,0.02,0.01,0.00,0.01,0.03,11/1/2018,0.08,0.01,-0.03,0.01,-0.02
Colgate-Palmolive Company,11/05/1984,1806,"$59,082.57",1/31/2020,0.01,-0.02,-0.01,0.03,-0.05,11/1/2019,0.01,-0.01,-0.03,0.02,-0.01,7/26/2019,-1%,-0.03,0.00,0.03,-0.03,4/26/2019,0.01,0.00,0.02,0.01,0.00,1/25/2019,0.01,-0.01,0.04,-0.02,-0.01,10/26/2018,0.00,0.03,0.02,0.02,0.04
Booking Holdings Inc., 3/30/1999,1997,"$58,362.39",2/27/2020,0.06,-0.05,-0.06,0.11,0.00,11/8/2019,0.02,-0.12,-0.01,0.01,0.04,8/8/2019,4%,-0.01,0.01,-0.01,0.03,5/10/2019,-0.01,-0.05,-0.05,0.02,0.03,2/28/2019,0.16,-0.01,0.02,-0.01,0.03,11/6/2018,-0.01,0.03,-0.06,0.05,-0.01
"Prologis, Inc.",11/21/1997,1991,"$57,488.98",1/22/2020,0.53,0.05,-0.02,0.05,0.01,10/15/2019,0.35,0.01,-0.04,-0.02,0.05,7/16/2019,62%,-0.03,0.00,0.02,0.02,4/16/2019,0.71,0.01,0.06,0.00,-0.01,1/22/2019,1.15,0.06,0.04,-0.01,0.00,10/16/2018,0.62,0.00,0.07,0.01,-0.01
Morgan Stanley, 2/23/1993,1935,"$57,464.92",1/16/2020,0.18,0.02,-0.05,0.02,-0.08,10/17/2019,0.09,0.03,0.05,0.04,0.00,7/18/2019,8%,-0.01,-0.02,-0.05,0.03,4/17/2019,0.14,0.06,-0.02,-0.06,-0.04,1/17/2019,-0.18,0.06,-0.04,-0.02,-0.01,10/16/2018,0.15,-0.01,0.01,-0.01,0.00
Vertex Pharmaceuticals Incorporated, 7/24/1991,1989,"$57,262.15",1/31/2020,0.40,-0.01,0.02,0.04,-0.05,10/31/2019,0.07,0.11,0.03,0.07,-0.02,8/1/2019,18%,-0.06,0.04,-0.04,-0.05,5/1/2019,0.13,-0.09,-0.01,0.04,-0.05,2/6/2019,0.22,-0.07,-0.01,-0.02,-0.01,10/25/2018,0.07,-0.03,0.05,-0.05,0.08
Southern Company,11/05/1984,1945,"$56,896.69",2/20/2020,0.00,-0.04,0.07,-0.20,0.00,10/30/2019,0.17,-0.01,-0.03,-0.01,-0.03,7/31/2019,10%,-0.01,0.06,0.00,-0.01,5/1/2019,-0.03,0.00,0.04,0.01,0.00,2/20/2019,0.09,-0.02,0.01,0.01,-0.01,11/7/2018,0.06,0.02,0.03,0.04,0.05
U.S. Bancorp,11/05/1984,1929,"$56,438.78",1/15/2020,-0.17,-0.06,-0.01,-0.01,-0.04,10/16/2019,0.04,-0.02,0.03,0.01,0.01,7/17/2019,2%,-0.01,0.06,-0.06,0.00,4/17/2019,0.00,0.01,0.04,-0.02,0.02,1/16/2019,0.04,0.01,0.01,-0.03,0.00,10/17/2018,0.01,0.00,0.02,0.03,-0.01
Chubb Limited, 3/25/1993,2016,"$55,227.20",2/5/2020,0.08,0.02,-0.03,-0.01,-0.16,10/30/2019,0.03,-0.06,-0.02,-0.02,0.01,7/24/2019,2%,-0.03,0.06,-0.01,0.02,5/1/2019,-0.01,0.03,0.02,0.04,-0.02,2/6/2019,0.02,-0.01,0.02,-0.01,-0.01,10/24/2018,0.02,-0.02,-0.01,0.06,-0.01
Caterpillar Inc.,11/05/1984,1925,"$54,810.27",1/31/2020,0.10,-0.07,0.00,0.01,-0.22,10/23/2019,-0.08,0.10,0.05,-0.04,-0.01,7/24/2019,-9%,0.02,-0.04,-0.04,0.03,4/24/2019,0.04,0.00,-0.03,-0.06,0.00,1/28/2019,-0.15,0.00,0.01,0.04,-0.04,10/23/2018,0.01,-0.12,0.08,-0.01,0.03
"Intuitive Surgical, Inc.", 6/13/2000,1995,"$54,626.14",1/24/2020,0.03,0.03,-0.03,0.03,0.03,10/18/2019,0.15,-0.01,-0.04,0.00,0.03,7/19/2019,13%,0.00,-0.01,-0.02,0.02,4/19/2019,-0.03,-0.09,-0.04,-0.04,-0.07,1/25/2019,-0.04,0.02,-0.01,0.04,-0.02,10/19/2018,0.06,-0.01,0.04,0.00,0.04
"ServiceNow, Inc.", 6/29/2012,2004,"$54,599.77",1/30/2020,0.10,0.04,0.00,0.05,-0.03,10/24/2019,0.11,-0.19,-0.01,0.15,-0.04,7/25/2019,12%,-0.01,-0.04,0.00,-0.02,4/25/2019,0.24,0.00,0.06,-0.01,0.02,1/31/2019,0.21,0.00,0.05,0.02,-0.01,10/25/2018,0.15,0.04,0.04,-0.08,0.15
Biogen Inc., 9/17/1991,1978,"$53,126.07",1/30/2020,0.04,-0.05,0.18,0.04,0.08,10/22/2019,0.10,-0.04,0.01,-0.04,0.02,7/23/2019,21%,0.00,0.03,-0.04,-0.07,4/24/2019,0.00,-0.05,0.05,0.02,-0.04,1/29/2019,0.04,-0.03,-0.09,0.01,-0.03,10/23/2018,0.09,-0.04,0.01,0.04,0.00
"Equinix, Inc.", 8/11/2000,1998,"$53,068.42",2/13/2020,-0.08,0.00,0.02,0.18,0.00,10/31/2019,-0.15,-0.01,-0.06,0.03,-0.04,8/1/2019,6%,-0.02,0.08,-0.01,-0.07,5/2/2019,0.00,-0.01,0.07,0.03,0.00,2/14/2019,0.15,0.00,0.01,0.02,0.02,11/2/2018,0.61,-0.05,-0.02,-0.01,0.04
Northrop Grumman Corporation,11/05/1984,1939,"$52,721.84",1/30/2020,0.18,0.02,-0.07,0.01,0.05,10/24/2019,0.15,-0.07,-0.06,0.01,-0.02,7/24/2019,8%,-0.02,0.10,0.01,-0.02,4/24/2019,0.10,0.04,0.05,0.10,0.00,1/31/2019,0.11,0.06,0.00,0.00,-0.06,10/24/2018,0.50,0.02,-0.06,-0.01,-0.03
Ecolab Inc.,11/05/1984,1923,"$51,890.05",2/18/2020,-0.03,0.01,0.04,-0.07,0.00,10/29/2019,0.00,-0.04,-0.05,-0.03,-0.01,7/30/2019,1%,0.01,0.04,0.01,-0.08,4/30/2019,0.01,-0.02,0.01,0.04,0.05,2/19/2019,0.00,0.00,0.01,0.01,0.01,10/30/2018,0.00,0.04,0.04,-0.02,0.03
Global Payments Inc., 1/12/2001,2001,"$51,832.48",2/12/2020,0.02,0.00,0.03,0.02,0.10,10/31/2019,0.02,-0.01,0.03,0.00,-0.02,7/30/2019,3%,0.03,-0.02,0.04,-0.03,5/2/2019,0.04,0.03,0.06,0.06,-0.02,2/13/2019,0.01,0.02,0.05,0.01,0.02,10/30/2018,0.03,-0.02,-0.03,0.01,-0.03
"Advanced Micro Devices, Inc.",11/05/1984,1969,"$51,348.14",1/29/2020,0.05,0.04,0.10,-0.07,0.05,10/30/2019,-0.02,0.06,0.12,0.03,0.08,7/31/2019,4%,0.00,0.04,0.00,-0.06,5/1/2019,0.15,0.00,0.05,0.04,0.08,1/30/2019,-0.02,-0.07,-0.04,0.02,-0.04,10/25/2018,0.05,-0.04,0.06,-0.02,0.03
"Regeneron Pharmaceuticals, Inc.", 4/02/1991,1988,"$51,219.79",2/6/2020,0.08,0.03,0.04,0.33,-0.06,11/5/2019,0.04,0.02,0.02,0.08,-0.02,8/6/2019,11%,0.06,-0.02,-0.05,-0.03,5/7/2019,-0.19,0.02,-0.03,-0.02,0.00,2/6/2019,0.22,0.00,0.01,-0.01,-0.05,11/6/2018,0.14,-0.08,-0.02,0.11,0.02
Target Corporation,11/05/1984,1902,"$50,607.18",3/3/2020,0.02,0.02,-0.05,0.00,0.00,11/20/2019,0.14,-0.01,-0.02,0.00,-0.05,8/21/2019,13%,0.03,0.04,-0.02,0.02,5/22/2019,0.07,-0.04,0.11,-0.03,0.02,3/5/2019,0.01,-0.01,0.02,0.00,0.02,11/20/2018,-0.02,-0.07,-0.01,-0.03,0.10
Illinois Tool Works Inc.,11/05/1984,1912,"$49,886.27",1/31/2020,0.01,0.00,0.02,0.01,-0.10,10/25/2019,0.05,0.04,0.00,-0.02,0.00,7/26/2019,1%,0.08,0.00,0.00,0.00,4/25/2019,0.00,0.02,0.02,-0.02,0.01,2/1/2019,0.01,0.02,0.05,-0.01,0.00,10/24/2018,0.01,-0.03,0.06,0.06,-0.03
"Marsh & McLennan Companies, Inc.",11/05/1984,1980,"$49,704.50",1/30/2020,0.01,0.04,0.01,0.00,0.03,10/29/2019,0.10,-0.02,0.00,0.02,0.01,7/30/2019,4%,0.00,0.01,0.00,-0.03,4/25/2019,0.04,0.00,0.02,0.04,0.01,1/31/2019,0.04,0.00,0.01,0.01,0.00,10/25/2018,0.05,0.00,0.04,0.03,-0.01
"Micron Technology, Inc.",11/05/1984,1978,"$47,756.48",12/19/2019,0.02,0.12,-0.03,0.08,-0.05,9/27/2019,0.09,-0.02,0.04,0.05,-0.04,6/26/2019,34%,-0.07,0.14,0.10,-0.09,3/21/2019,0.05,0.04,-0.03,0.00,-0.02,12/19/2018,0.01,-0.06,0.04,0.04,0.08,9/21/2018,0.06,0.01,-0.01,-0.03,0.01
"Applied Materials, Inc.",11/05/1984,1967,"$46,732.54",2/13/2020,0.06,0.06,-0.02,-0.03,0.00,11/15/2019,0.05,0.03,-0.09,0.03,0.01,8/16/2019,6%,0.01,0.02,0.03,-0.01,5/17/2019,0.06,-0.03,-0.05,-0.01,0.11,2/15/2019,0.03,0.03,-0.01,0.01,0.02,11/16/2018,0.00,-0.01,0.06,-0.05,-0.01
"Intercontinental Exchange, Inc.",11/16/2005,2000,"$46,002.77",2/6/2020,0.00,-0.04,0.05,0.10,-0.12,10/31/2019,0.11,-0.02,-0.03,0.00,-0.03,8/1/2019,2%,-0.03,0.05,0.00,-0.05,5/2/2019,0.03,0.01,0.03,0.05,-0.02,2/7/2019,0.02,-0.02,-0.04,-0.02,-0.01,10/31/2018,0.06,0.02,0.02,0.02,0.00
"PNC Financial Services Group, Inc.",11/05/1984,1983,"$45,865.21",1/15/2020,0.01,-0.02,-0.02,0.00,-0.07,10/16/2019,0.05,0.01,0.03,0.00,0.00,7/17/2019,2%,-0.02,0.02,-0.08,0.00,4/12/2019,0.00,0.02,0.02,-0.02,0.01,1/16/2019,-0.01,-0.01,-0.02,-0.03,0.03,10/12/2018,0.03,0.02,0.00,0.08,0.05
Sherwin-Williams Company,11/05/1984,1866,"$45,840.49",1/30/2020,-0.03,0.03,-0.01,0.01,0.06,10/22/2019,0.03,-0.02,-0.03,0.02,-0.02,7/23/2019,3%,-0.02,0.06,0.04,0.01,4/23/2019,-0.02,0.00,-0.01,-0.03,0.05,1/31/2019,-0.02,0.03,0.01,-0.01,-0.02,10/25/2018,-0.01,-0.02,0.09,0.06,-0.06
Kimberly-Clark Corporation,11/05/1984,1872,"$45,817.10",1/23/2020,0.01,0.04,-0.01,-0.02,0.14,10/22/2019,0.02,-0.03,-0.02,0.00,0.04,7/23/2019,3%,-0.03,0.04,0.03,0.00,4/22/2019,0.08,0.00,-0.03,0.05,0.02,1/23/2019,-0.03,-0.02,-0.02,0.03,-0.03,10/22/2018,0.05,0.01,0.01,0.05,0.01
Progressive Corporation,11/05/1984,1965,"$45,690.78",1/29/2020,0.17,0.02,0.00,0.03,0.08,10/16/2019,0.02,-0.03,-0.07,0.02,0.00,7/17/2019,-1%,0.02,0.01,-0.02,-0.03,4/16/2019,-0.07,-0.02,-0.01,0.03,0.06,1/23/2019,0.19,0.02,0.00,0.05,0.01,10/16/2018,0.19,0.00,0.04,0.01,-0.11
"Air Products and Chemicals, Inc.",11/05/1984,1940,"$45,539.11",1/24/2020,0.02,0.02,0.01,0.01,-0.01,11/7/2019,-0.01,0.02,0.04,-0.04,-0.01,7/25/2019,1%,-0.02,0.02,-0.01,-0.02,4/24/2019,0.03,0.00,0.05,0.01,0.08,1/25/2019,-0.01,-0.02,0.01,0.06,0.02,11/6/2018,0.00,0.03,0.04,0.00,0.04
Truist Financial Corporation,11/05/1984,2019,"$45,425.88",1/30/2020,-0.17,-0.04,0.02,-0.04,-0.18,10/17/2019,-0.06,0.00,0.00,0.01,-0.01,7/18/2019,2%,0.01,-0.01,-0.05,0.02,4/18/2019,-0.05,0.02,0.02,-0.03,0.02,1/17/2019,-0.07,0.03,-0.01,0.01,0.01,10/18/2018,0.01,0.01,0.03,0.05,-0.01
"Activision Blizzard, Inc.",11/05/1984,1979,"$45,414.87",2/7/2020,0.03,0.00,0.04,0.07,0.03,11/8/2019,0.31,-0.04,-0.03,0.02,0.06,8/9/2019,50%,0.07,0.01,0.12,-0.02,5/3/2019,0.32,0.10,0.01,-0.05,0.01,2/13/2019,0.00,-0.13,-0.07,0.02,0.05,11/9/2018,0.06,-0.15,-0.04,-0.04,0.03
Boston Scientific Corporation, 5/19/1992,1979,"$45,138.98",2/5/2020,0.05,-0.02,-0.02,-0.02,-0.14,10/23/2019,0.02,-0.03,-0.01,0.03,0.01,7/24/2019,3%,-0.01,0.03,-0.01,-0.02,4/24/2019,-0.02,-0.07,0.05,0.03,0.08,2/6/2019,0.09,-0.03,0.02,0.00,-0.07,10/24/2018,0.03,0.01,0.00,-0.03,0.03
CSX Corporation,11/05/1984,1827,"$44,835.48",1/17/2020,0.03,0.03,0.03,-0.01,-0.02,10/17/2019,0.07,0.01,-0.01,0.00,-0.02,7/17/2019,-2%,0.00,-0.01,-0.04,-0.01,4/17/2019,0.12,-0.02,-0.01,0.00,0.00,1/17/2019,0.02,0.01,-0.01,0.07,0.00,10/17/2018,0.11,0.01,0.01,0.03,0.00
"Waste Management, Inc.", 6/22/1988,1987,"$44,730.35",2/13/2020,0.03,0.00,0.01,0.04,0.00,10/23/2019,0.04,-0.02,-0.05,0.01,-0.01,7/25/2019,3%,-0.03,0.04,0.00,-0.01,4/25/2019,0.02,0.03,0.02,0.06,0.02,2/14/2019,0.06,0.01,0.00,0.00,0.02,10/25/2018,0.04,0.01,0.02,0.07,0.00
Deere & Company,11/05/1984,1837,"$43,580.64",2/21/2020,0.29,-0.03,0.03,-0.15,0.00,11/27/2019,0.00,-0.01,0.02,-0.01,-0.02,8/16/2019,-4%,-0.07,0.03,0.04,0.04,5/17/2019,-0.03,-0.10,0.10,0.02,0.05,2/15/2019,-0.12,-0.03,0.04,-0.04,0.00,11/21/2018,-0.06,-0.01,0.04,0.06,0.03
Charles Schwab Corporation, 9/23/1987,1986,"$43,564.13",1/16/2020,-0.03,-0.03,-0.04,-0.01,-0.03,10/15/2019,0.09,-0.10,0.02,0.04,0.12,7/16/2019,1%,-0.02,0.03,-0.10,-0.02,4/15/2019,0.05,0.03,0.00,0.00,-0.02,1/16/2019,0.02,0.02,-0.03,-0.05,0.01,10/15/2018,0.01,0.05,-0.04,0.04,-0.01
"American Electric Power Company, Inc.",11/05/1984,1906,"$42,788.21",2/20/2020,0.03,-0.02,0.07,-0.12,0.00,10/24/2019,0.11,-0.01,-0.09,0.01,0.00,7/25/2019,3%,-0.02,0.03,0.02,-0.02,4/25/2019,0.07,-0.01,0.00,0.08,0.00,1/24/2019,0.02,0.02,0.00,0.00,0.02,10/25/2018,0.04,0.09,-0.03,0.08,0.04
Raytheon Company,11/05/1984,1922,"$41,724.39",1/30/2020,0.01,0.00,-0.03,-0.05,-0.11,10/24/2019,0.08,0.01,-0.01,0.00,-0.01,7/25/2019,11%,0.03,0.00,0.00,0.00,4/25/2019,0.12,0.02,0.03,0.01,0.01,1/31/2019,0.01,0.04,0.08,0.01,-0.05,10/25/2018,0.14,-0.03,0.02,-0.01,-0.02
Humana Inc.,11/05/1984,1961,"$41,475.04",2/5/2020,0.04,-0.05,0.00,0.10,-0.15,11/6/2019,0.10,-0.01,0.10,0.02,0.03,7/31/2019,14%,0.00,0.04,-0.09,-0.07,5/1/2019,0.04,-0.01,0.01,0.04,-0.01,2/6/2019,0.05,-0.02,0.00,-0.12,0.00,11/7/2018,0.07,0.01,-0.08,0.01,-0.02
